,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
230,1/3/2020 9:45,19.23333333,19.48,11.73333333,60.93333333,4.066666667,224.5333333,8.426
231,1/3/2020 10:00,19.5,20.33333333,11.66,57.46666667,7.253333333,223.7333333,9.032
232,1/3/2020 10:15,19.40666667,20.65333333,11.48666667,55.73333333,8.8,250.3333333,9.78
233,1/3/2020 10:30,20.21333333,20.90666667,11.54,55.06666667,6.173333333,225.0666667,10.042
234,1/3/2020 10:45,21.33333333,21.96666667,11.58666667,51.73333333,5.773333333,147.7333333,10.09
235,1/3/2020 11:00,20.98666667,22.17333333,11.31333333,50.13333333,8.213333333,203.4,10.787
236,1/3/2020 11:15,21.90666667,22.84666667,11.14,47.6,6.666666667,101.6666667,11.779
237,1/3/2020 11:30,22.68,23.88666667,11.15333333,44.73333333,7.973333333,118.0666667,12.282
238,1/3/2020 11:45,22.90666667,24.30666667,10.57333333,42.0,8.186666667,93.13333333,13.531
239,1/3/2020 12:00,23.96666667,25.42666667,10.63333333,39.46666667,8.48,110.6666667,15.277
240,1/3/2020 12:15,24.26,26.19333333,9.98,36.13333333,10.16,122.0,16.029
241,1/3/2020 12:30,25.51333333,27.28,9.68,33.2,8.653333333,93.86666667,16.194
242,1/3/2020 12:45,26.27333333,27.86,9.68,32.06666667,8.026666667,123.2,16.992
243,1/3/2020 13:00,26.86666667,28.40666667,9.1,29.86666667,6.96,140.3333333,17.689
244,1/3/2020 13:15,27.94,29.46666667,9.333333333,28.53333333,7.053333333,141.5333333,20.174
245,1/3/2020 13:30,27.85333333,29.83333333,8.826666667,27.0,9.08,114.4666667,18.445
246,1/3/2020 13:45,29.05333333,30.6,8.766666667,25.73333333,6.506666667,127.8,19.31
247,1/3/2020 14:00,30.41333333,32.04666667,8.633333333,23.53333333,6.746666667,151.4666667,19.871
248,1/3/2020 14:15,30.76,32.77333333,7.58,21.0,7.413333333,182.7333333,16.082
249,1/3/2020 14:30,31.34,33.18,6.733333333,19.4,5.453333333,211.0,16.052
250,1/3/2020 14:45,32.02666667,33.91333333,6.0,17.66666667,5.0,180.6666667,15.222
251,1/3/2020 15:00,31.24666667,34.13333333,4.74,16.0,8.6,157.8666667,14.109
252,1/3/2020 15:15,31.07333333,34.04,3.493333333,14.73333333,7.933333333,151.8666667,12.885
253,1/3/2020 15:30,31.38,34.65333333,2.426666667,13.2,8.506666667,164.4666667,12.867
254,1/3/2020 15:45,31.56666667,35.38666667,-0.06,10.6,9.4,152.6666667,13.395
255,1/3/2020 16:00,31.76666667,35.16,1.013333333,11.6,7.973333333,154.6666667,13.181
256,1/3/2020 16:15,32.19333333,35.79333333,-0.193333333,10.26666667,8.146666667,135.1333333,11.242
257,1/3/2020 16:30,32.88,36.29333333,-0.826666667,9.533333333,6.666666667,157.4,11.145
258,1/3/2020 16:45,33.83333333,36.78666667,-1.033333333,9.133333333,4.186666667,142.2666667,10.665
259,1/3/2020 17:00,33.06,36.45333333,-1.28,9.133333333,6.6,155.2,9.454
260,1/3/2020 17:15,32.76,36.61333333,-0.44,9.666666667,9.333333333,147.2,8.385
261,1/3/2020 17:30,32.38,36.44666667,1.36,11.06666667,12.04,120.7333333,7.23
262,1/3/2020 17:45,31.77333333,36.08,3.18,12.86666667,14.56,115.6666667,6.601
263,1/3/2020 18:00,32.56,36.02,3.693333333,13.4,10.36,131.5333333,5.72
264,1/3/2020 18:15,32.35333333,36.12,5.333333333,14.93333333,13.96,122.2666667,5.063
265,1/3/2020 18:30,32.55333333,36.02,5.693333333,15.4,12.76,119.2,4.738
266,1/3/2020 18:45,33.14,36.09333333,5.566666667,15.2,9.966666667,114.4666667,3.871
267,1/3/2020 19:00,33.67333333,35.96,5.26,15.0,6.013333333,91.4,3.159
268,1/3/2020 19:15,33.38,35.52,5.366666667,15.46666667,5.56,112.6666667,2.391
269,1/3/2020 19:30,33.30666667,35.18666667,4.673333333,15.0,3.293333333,94.33333333,2.001
270,1/3/2020 19:45,32.49333333,35.14666667,0.593333333,11.26666667,3.853333333,79.53333333,1.297
271,1/3/2020 20:00,31.8,34.68,2.16,13.0,6.546666667,109.6,0.777
272,1/3/2020 20:15,32.08,33.78666667,4.226666667,15.73333333,2.24,115.5333333,0.41
313,1/4/2020 6:30,15.28,18.84,7.06,46.46666667,15.72,238.8,0.35
314,1/4/2020 6:45,18.04,20.58,6.186666667,39.13333333,8.56,268.6,0.767
315,1/4/2020 7:00,19.42666667,21.9,5.693333333,34.86666667,7.706666667,240.2666667,1.315
